461.17	114.62	1310.7	322.03	124.54	1306.4	608.45	149.52	1321.9	1102.5	268	1238.4	1102.4	217.56	1237.3	-167.28	254.6	1225.1	-178.17	204.4	1232.1	354.74	245.27	974.82	612	221.08	980.93	462.58	112.45	961.68	662.78	120.24	34.768	627.16	237.59	445.17	335.61	115.45	44.831	350.21	226.95	437.06
461.17	114.62	1310.7	322.03	124.54	1306.4	608.45	149.52	1321.9	1102.5	268	1238.4	1102.4	217.56	1237.3	-167.28	254.6	1225.1	-178.17	204.4	1232.1	354.74	245.27	974.82	612	221.08	980.93	462.58	112.45	961.68	662.78	120.24	34.768	627.16	237.59	445.17	335.61	115.45	44.831	350.21	226.95	437.06
460.99	114.52	1310.6	322.07	124.5	1306.5	608.31	149.37	1321.7	1102.4	267.87	1238.5	1102.5	217.45	1237.2	-167.16	254.6	1225.2	-178.05	204.29	1232.3	354.67	243.42	973.07	611.85	221.43	981.27	462.55	112.51	961.46	662.12	120.28	33.732	627.37	237.27	445.51	335.48	115.22	44.421	350.07	227.38	437.7
461.12	114.47	1310.7	322.05	124.41	1306.4	608.58	149.42	1322.1	1102.4	267.83	1238.6	1102.5	217.42	1237.4	-167.19	254.49	1225.1	-178.06	204.05	1232.5	354.74	244.16	973.75	611.84	222.06	981.5	462.49	112.55	961.49	661.07	120.42	32.609	627.33	237.14	444.84	335.57	115.39	44.823	350.23	227.23	437.58
460.84	114.41	1310.5	322.14	124.39	1306.3	608.4	149.3	1321.9	1102.5	267.89	1238.8	1102.4	217.37	1237.3	-167.1	254.54	1225.1	-178.08	204.25	1232.4	354.74	244.05	973.72	611.97	222.34	981.87	462.55	112.39	961.5	661.34	120.13	33.147	627.04	237.09	444.69	334.34	115.43	46.082	350.08	227.52	437.6
461.07	114.31	1310.7	322.03	124.39	1306.2	608.57	149.19	1321.9	1102.4	267.76	1238.6	1102.4	217.43	1237.3	-167.2	254.42	1225.1	-178.17	203.87	1232.4	354.67	244.35	973.85	611.96	221.6	981.63	462.52	112.32	961.6	662.23	120.43	33.71	627.27	237.07	444.73	334.34	115.47	46.5	350.27	226.99	437.16
461.14	114.27	1310.7	322.01	124.37	1306.5	608.41	149.27	1322	1102.4	267.56	1238.7	1102.4	217.22	1237.2	-167.27	254.4	1225.2	-178.31	203.86	1232.2	354.65	244	973.45	611.95	221.24	980.86	462.5	112.51	961.58	660.48	120.16	31.808	627.63	237.35	445.26	334.49	115.41	46.246	350.2	228.18	438.13
460.86	114.22	1310.6	322.04	124.16	1306.2	608.51	149.12	1322.1	1102.5	267.51	1238.8	1102.3	217.19	1237.5	-167.38	254.29	1225.3	-178.26	203.86	1232.4	354.84	243.96	973.6	611.76	221.5	981.17	462.56	112.44	961.43	661.27	120.46	32.426	627.76	237.45	445.79	335.04	115.41	45.369	350.32	227.54	438.22
460.99	114.17	1310.7	321.99	124.32	1306.3	608.43	149.13	1322	1102.3	267.45	1238.8	1102.3	217.08	1237.4	-167.42	254.18	1225.3	-178.23	203.86	1232.4	354.94	244.36	973.94	611.58	220.85	980.71	462.42	112.56	961.4	663.91	120.65	36.081	627.65	237.31	445.53	334.89	115.52	45.729	350.23	226.59	436.68
460.84	114.17	1310.6	321.92	124.09	1306.3	608.52	148.98	1322	1102.3	267.37	1238.7	1102.3	217.08	1237.5	-167.41	254.04	1225.2	-178.4	203.68	1232.6	354.81	244.79	974.22	611.81	221.52	981.33	462.54	112.27	961.71	662.01	120.32	33.667	627.31	236.9	444.64	335.02	115.39	45.966	350.37	228.01	438.76
